%LATITUDE (°) - tide free	LONGITUDE (°) - tide free	h (m) - tide free	Anomalia de gravidade residual (mGal)
-25.22099017	-48.75874296	145.97080000	-40.27023668
-25.31421651	-48.64842106	94.92910000	-20.08210294
-25.38716864	-48.65363371	6.40070000	-40.66010752
-25.25580008	-48.57192401	45.98560000	-16.67033446
-25.31827582	-48.51934929	10.05550000	-28.72700886
-25.18714994	-48.52469006	22.39940000	-19.12493525
-25.46218461	-48.87455348	26.76720000	-55.05595492
-25.42697570	-48.87769725	32.34730000	-53.94577928
-25.43311791	-48.91449790	374.54390000	-26.15710003
-25.54223107	-48.98593159	917.31000000	35.84847202
-25.49651264	-48.98201427	1010.39210000	47.96800341
-25.47657711	-49.05417036	949.20520000	37.80716042
-25.57975749	-49.11738323	932.95950000	19.17202426
-25.62817465	-49.06945611	950.56570000	22.13252075
-25.68407128	-48.99174916	793.75390000	34.45883513
-25.68129320	-49.06006778	936.37740000	31.12510496
-25.76197636	-49.02544418	918.18100000	43.08787406
-25.80388009	-48.87680046	341.74710000	-27.14222690
-25.63876166	-48.92078145	848.81900000	36.94803499
-25.51465790	-48.99130560	996.18610000	43.77615950
-25.97019519	-48.59446475	7.15000000	7.05905599
-25.96600914	-48.59347167	5.54000000	6.69203508
-25.96138688	-48.59229785	3.94000000	6.06828736
-25.95709262	-48.59076801	1.87000000	5.30471864
-25.95258065	-48.58917283	0.50000000	4.98474464
-25.94849519	-48.58771879	2.34000000	6.20582453
-25.94377420	-48.58603824	1.52000000	5.99223390
-25.93968889	-48.58459438	1.18000000	5.86964042
-25.93586437	-48.58309537	1.52000000	5.77510023
-25.93123726	-48.58109384	2.03000000	6.01631537
-25.92681929	-48.57918798	0.40000000	5.18175932
-25.92261933	-48.57736762	3.09000000	6.27722702
-25.91862853	-48.57564289	2.69000000	6.25505332
-25.91463738	-48.57389831	1.45000000	5.86919605
-25.91034933	-48.57167095	1.32000000	6.02238087
-25.90626173	-48.56955937	3.20000000	7.19554259
-25.90197363	-48.56733230	2.80000000	7.41957991
-25.89809517	-48.56531649	2.15000000	7.76523477
-25.89380702	-48.56308971	2.38000000	8.56481038
-25.89011130	-48.56121008	1.50000000	8.57937852
-25.88474229	-48.55857681	2.76000000	8.93600241
-25.88020128	-48.55634571	2.96000000	8.86464905
-25.87586058	-48.55422039	1.22000000	8.00021777
-25.87131953	-48.55198961	6.08000000	9.98635700
-25.86677846	-48.54975899	1.99000000	7.93566407
-25.86533154	-48.54905068	1.82000000	7.40860175
-25.86202800	-48.54742312	3.58000000	7.83732556
-25.85542123	-48.54418820	19.03000000	14.25456410
-25.85293687	-48.54297284	-0.19000000	6.23022598
-25.85025217	-48.54165196	35.56000000	21.10396291
-25.85005183	-48.54154639	2.39000000	7.29376091
-25.84798600	-48.54053191	3.03000000	7.76723919
-25.84447321	-48.53880940	4.04000000	8.24053338
-25.84406368	-48.53860843	0.31000000	6.70802283
-25.84017157	-48.53740250	1.50000000	6.92404446
-25.83576859	-48.53640668	0.66000000	6.15678547
-25.83201789	-48.53555696	1.06000000	6.04591297
-25.82782741	-48.53378900	-0.10000000	5.56182840
-25.82388818	-48.53193617	0.06000000	5.87613523
-25.81863655	-48.52986141	-0.13000000	6.23727182
-25.81416879	-48.53195828	2.08000000	7.23018653
-25.80947731	-48.53045031	3.21000000	7.22565096
-25.80510315	-48.52849719	0.53000000	5.43833077
-25.80095502	-48.52656940	1.16000000	5.08295525
-25.79685011	-48.52453118	0.33000000	4.36357592
-25.79278843	-48.52238254	0.71000000	4.48324297
-25.78852654	-48.52013851	0.81000000	4.66391276
-25.78443808	-48.51801064	-0.11000000	4.61861086
-25.78036747	-48.51587256	1.03000000	5.26432650
-25.77607845	-48.51362953	2.42000000	5.43335779
-25.77192950	-48.51166281	0.05000000	4.09648698
-25.76776368	-48.50976633	0.45000000	3.80942183
-25.76387563	-48.50775455	0.16000000	3.83295628
-25.75965647	-48.50538106	0.94000000	3.83111262
-25.75565499	-48.50307293	2.80000000	4.67600748
-25.75207207	-48.50096546	1.50000000	4.10762268
-25.26791351	-49.56556865	712.91770000	-24.68501783
-25.26927754	-49.56069348	700.80030000	-26.97485149
-25.27502683	-49.56178899	687.05630000	-30.79327712
-25.27935216	-49.55940274	680.71710000	-32.54944252
-25.28291067	-49.55693048	698.42680000	-32.64312979
-25.28499682	-49.55442433	716.89890000	-31.48842326
-25.28791458	-49.55230384	704.99300000	-33.50476325
-25.29145701	-49.54979147	738.89280000	-29.54553543
-25.29408416	-49.54839449	761.59360000	-26.45294159
-25.29913212	-49.54792206	794.83850000	-22.73789880
-25.30233269	-49.54537378	808.06060000	-21.24654392
-25.30601776	-49.54146905	807.20150000	-21.34310044
-25.31178440	-49.53829610	834.17580000	-17.65519089
-25.31791405	-49.53949997	837.21080000	-17.44761793
-25.32439712	-49.53968597	840.82390000	-15.60715842
-25.32746809	-49.53408193	843.55080000	-13.09189350
-25.33135097	-49.52976727	848.49180000	-11.59091580
-25.33381670	-49.52310318	848.65430000	-11.37633277
-25.33873237	-49.51920143	853.89830000	-10.26643392
