%LATITUDE (°) - tide free	LONGITUDE (°) - tide free	Anomalia refinada de Bouguer (mGal) - zero tide
-25.34385563	-49.56495367	-54.93026102
-25.33930389	-49.56447926	-54.36890720
-25.34813075	-49.56507363	-54.40071906
-25.34759318	-49.58344999	-55.14288226
-25.34264566	-49.58469177	-54.59251504
-25.33987950	-49.58059244	-54.70641592
-25.33844162	-49.58650065	-54.63689334
-25.33606341	-49.59104450	-55.17172575
-25.33184427	-49.59314130	-55.71211777
-25.32773098	-49.59534034	-55.60261373
-25.32322150	-49.59374111	-55.76871451
-25.31879694	-49.59465514	-55.02617272
-25.34286199	-49.59089954	-54.65281580
-25.34372576	-49.59653530	-55.02030422
-25.34413151	-49.60154755	-54.50556070
-25.33483299	-49.56568879	-55.61087145
-25.33142679	-49.56918369	-56.87264799
-25.32918107	-49.56097834	-57.47906579
-25.32773013	-49.56586409	-57.71322221
-25.32513120	-49.56325501	-58.33847034
-25.32600806	-49.56963089	-57.85316498
-25.32196866	-49.56728568	-58.64687445
-25.32010363	-49.57130840	-58.06590048
-25.32274615	-49.55403955	-57.93941358
-25.31996091	-49.55780370	-58.39178323
-25.31606914	-49.56079252	-59.37883051
-25.31345278	-49.56518576	-58.76503493
-25.30880588	-49.56629470	-58.04044512
-25.30507415	-49.57039741	-55.71600105
-25.31240549	-49.57012106	-58.93461241
-25.30979602	-49.57194843	-59.07987126
-25.31523266	-49.55725909	-58.53124402
-25.31351105	-49.55224874	-59.04171889
-25.31634706	-49.54820413	-58.73278276
-25.31965870	-49.54491693	-57.90536601
-25.32115695	-49.54812041	-57.91834321
-25.30925470	-49.55361335	-59.04197345
-25.30662450	-49.55788682	-59.05553240
-25.30196255	-49.55593764	-58.89448440
-25.29811599	-49.55806179	-58.59292593
-25.30319925	-49.56143330	-58.80807589
-25.29894191	-49.56412657	-58.29923150
-25.29871802	-49.56094028	-59.16205768
-25.29606502	-49.56803749	-58.11267434
-25.29141605	-49.56734384	-55.90691721
-25.28696242	-49.56331006	-56.52963169
