        generated_by     ICGEM (hosted at GFZ-Potsdam)
     generating_date     2025/06/05
----------------------------------------------------------------------
           modelname     GOCO06s
     max_used_degree           300
----------------------------------------------------------------------
         tide_system     tide_free
    zero_degree_term     included
----------------------------------------------------------------------
          refsysname     GRS80
   max_degree_refpot             8
            gmrefpot      3.98600500000E+14[m**3/s**2]
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810681183638E-03   (1/298.25722210088)
         omegarefpot      7.29211500000E-05 1/s
----------------------------------------------------------------------
    number_of_points         10000
      latlimit_north      -22.500544810000    
      latlimit_south      -27.499907110000    
      longlimit_west      -53.975079430000    
      longlimit_east      -49.271392080000    
----------------------------------------------------------------------
description of columns -----------------------------------------------
 1 identifier (from input)
 2 longitude  (from input)    [degree]
 3 latitude   (from input)    [degree]
 4 h_over_ell (from input)     [meter]
 -------------------------------------
 5 gravity_anomaly              [mGal]  gravity(h) - gamma(h-h_anomaly)   
----------------------------------------------------------------------

end_of_head ================================================================
10063        -52.58026905  -25.38544780  6.911280E+02 -3.125362847367E+01
10064        -52.58055705  -25.38631280  7.008090E+02 -3.129227614824E+01
10065        -52.58084606  -25.38717880  6.968200E+02 -3.134237147382E+01
10066        -52.58200807  -25.38779980  6.789220E+02 -3.140884386585E+01
10067        -52.58232408  -25.38865480  6.869130E+02 -3.144868628766E+01
10068        -52.58264108  -25.38950880  6.846840E+02 -3.149704272580E+01
10069        -52.58291909  -25.39025781  6.737650E+02 -3.154700123549E+01
10070        -52.58327710  -25.39122181  6.665160E+02 -3.160547572740E+01
10071        -52.58359210  -25.39207881  6.701570E+02 -3.164873314550E+01
10072        -52.58391711  -25.39292881  6.684580E+02 -3.169631207065E+01
10073        -52.58423111  -25.39378982  6.670190E+02 -3.174390552481E+01
10074        -52.58455012  -25.39464082  6.860000E+02 -3.177350906025E+01
10075        -52.58490912  -25.39560482  6.976810E+02 -3.181526684806E+01
10076        -52.58518313  -25.39635382  6.948920E+02 -3.185773587404E+01
10077        -52.58550814  -25.39718482  6.933030E+02 -3.190387054932E+01
10078        -52.58582214  -25.39804182  7.061940E+02 -3.193840726698E+01
10079        -52.58613915  -25.39890082  7.217950E+02 -3.197061055840E+01
10080        -52.58644915  -25.39975482  7.328960E+02 -3.200621971438E+01
10081        -52.58679216  -25.40068283  7.148770E+02 -3.207106021641E+01
10082        -52.58708016  -25.40146683  7.016480E+02 -3.212404720809E+01
10083        -52.58739617  -25.40232583  6.931390E+02 -3.217684406973E+01
10084        -52.58775018  -25.40329083  6.933210E+02 -3.222752442511E+01
10085        -52.58802418  -25.40403784  6.984810E+02 -3.226226513853E+01
10086        -52.58833919  -25.40489384  6.987130E+02 -3.230698636330E+01
10087        -52.58865320  -25.40574884  6.952940E+02 -3.235476992920E+01
10088        -52.58928521  -25.40746584  7.027860E+02 -3.243778821904E+01
10089        -52.58944521  -25.40790084  7.071560E+02 -3.245655792199E+01
10090        -52.58943722  -25.40932085  7.072170E+02 -3.252081831722E+01
10091        -52.59140923  -25.40967784  7.026790E+02 -3.257579438891E+01
10092        -52.59172424  -25.41053185  6.928100E+02 -3.262874881234E+01
10093        -52.58920423  -25.41224786  6.932600E+02 -3.266122120422E+01
10094        -52.59046524  -25.41281486  6.958420E+02 -3.270684222940E+01
10095        -52.59159125  -25.41377886  6.925530E+02 -3.277286768562E+01
10096        -52.59180425  -25.41431386  6.966840E+02 -3.279683654096E+01
10097        -52.59211926  -25.41516986  7.029450E+02 -3.283494950530E+01
10098        -52.59243527  -25.41602786  7.091260E+02 -3.287311851246E+01
10099        -52.59259127  -25.41645286  7.122070E+02 -3.289195265808E+01
10100        -52.59306528  -25.41773886  7.413080E+02 -3.293086178413E+01
10101        -52.59338028  -25.41859387  7.247390E+02 -3.298913915515E+01
10102        -52.59204328  -25.41995588  7.043890E+02 -3.304443079362E+01
10103        -52.59236129  -25.42081488  6.945900E+02 -3.309671153655E+01
10104        -52.59385730  -25.42130688  6.949020E+02 -3.314401835226E+01
10105        -52.59417231  -25.42216488  7.046030E+02 -3.317815405204E+01
10106        -52.59495931  -25.42287988  7.127640E+02 -3.321539894294E+01
10107        -52.59527432  -25.42373588  7.210160E+02 -3.325050307481E+01
10108        -52.59559032  -25.42458988  7.314070E+02 -3.328343349356E+01
10109        -52.59585733  -25.42534488  7.407970E+02 -3.331203237362E+01
10110        -52.59622134  -25.42630088  7.459990E+02 -3.335470229491E+01
10111        -52.59653634  -25.42715788  7.357200E+02 -3.340645987215E+01
10112        -52.59681235  -25.42790489  7.381310E+02 -3.344099569897E+01
10113        -52.59716835  -25.42886989  7.228920E+02 -3.350252280274E+01
10114        -52.59748536  -25.42972889  7.129930E+02 -3.355381489261E+01
10115        -52.59763937  -25.43015089  7.079230E+02 -3.357914978910E+01
10116        -52.59823438  -25.43175890  7.095050E+02 -3.365609178214E+01
10117        -52.59843238  -25.43229190  7.154960E+02 -3.367639662386E+01
10118        -52.59780438  -25.43343790  7.145770E+02 -3.371529514986E+01
10119        -52.59812238  -25.43429390  7.245480E+02 -3.374733345822E+01
10120        -52.59937940  -25.43486090  7.258390E+02 -3.379080447754E+01
10121        -52.59969540  -25.43571790  7.208400E+02 -3.383668901353E+01
10122        -52.60001241  -25.43657491  7.118810E+02 -3.388623579035E+01
10123        -52.60032742  -25.43743091  7.012620E+02 -3.393719656355E+01
10124        -52.60109843  -25.43811791  6.968340E+02 -3.398257343701E+01
10125        -52.60103943  -25.43935591  7.014250E+02 -3.402869338842E+01
10126        -52.60127643  -25.43999691  7.049350E+02 -3.405573505564E+01
10127        -52.60159444  -25.44085692  7.125460E+02 -3.408913086904E+01
10128        -52.60190945  -25.44171092  7.211670E+02 -3.412112254235E+01
10129        -52.60222645  -25.44256792  7.268190E+02 -3.415596362863E+01
10130        -52.60254246  -25.44342192  7.334500E+02 -3.418958991972E+01
10131        -52.60285746  -25.44426392  7.383410E+02 -3.422424070507E+01
10132        -52.60317347  -25.44512092  7.310120E+02 -3.427112915659E+01
10133        -52.60348947  -25.44597693  7.290230E+02 -3.431273714511E+01
10134        -52.60380548  -25.44683393  7.229640E+02 -3.435819636355E+01
10135        -52.60412149  -25.44768993  7.175150E+02 -3.440292305505E+01
10136        -52.60443649  -25.44854393  7.118160E+02 -3.444769061574E+01
10137        -52.60475250  -25.44940594  7.069170E+02 -3.449191348572E+01
10138        -52.60806453  -25.45125493  7.167310E+02 -3.460704430935E+01
10139        -52.60830054  -25.45189693  7.184920E+02 -3.463435108184E+01
10140        -52.60900955  -25.45382094  7.113240E+02 -3.472793711303E+01
10141        -52.60696654  -25.45539495  7.078340E+02 -3.476204657513E+01
10142        -52.60728255  -25.45625195  7.157850E+02 -3.479248795983E+01
10143        -52.60760055  -25.45710995  7.151560E+02 -3.483129144666E+01
10144        -52.60791756  -25.45796395  7.186770E+02 -3.486570449862E+01
10145        -52.60823457  -25.45882096  7.231580E+02 -3.489914467583E+01
10146        -52.60855257  -25.45967596  7.262090E+02 -3.493379188839E+01
10147        -52.60886758  -25.46053196  7.258400E+02 -3.497167833348E+01
10148        -52.60918458  -25.46138696  7.221120E+02 -3.501275784448E+01
10149        -52.60950159  -25.46224596  7.154130E+02 -3.505682119034E+01
10150        -52.60981760  -25.46310097  7.120340E+02 -3.509730137061E+01
10151        -52.61045061  -25.46481097  7.168360E+02 -3.516636260823E+01
10152        -52.61076661  -25.46566497  7.121870E+02 -3.520768545577E+01
10153        -52.61108462  -25.46652597  7.058580E+02 -3.525086162917E+01
10154        -52.61139963  -25.46737798  6.905790E+02 -3.530252575388E+01
10155        -52.61172464  -25.46823198  6.504000E+02 -3.537938497562E+01
10156        -52.61203564  -25.46909398  6.573810E+02 -3.540879904342E+01
10157        -52.61235065  -25.46994798  6.742020E+02 -3.542788938962E+01
10158        -52.61266465  -25.47080498  6.814230E+02 -3.545659231499E+01
10159        -52.61329966  -25.47251499  6.931250E+02 -3.551625243858E+01
10160        -52.61361667  -25.47337399  6.975160E+02 -3.554746652963E+01
10161        -52.61393368  -25.47422899  6.929070E+02 -3.558752281823E+01
10162        -52.61417168  -25.47486999  6.900480E+02 -3.561686867357E+01
10163        -52.61456769  -25.47594300  6.869490E+02 -3.566407669311E+01
10164        -52.61488269  -25.47679600  6.852300E+02 -3.570069724201E+01
10165        -52.61519970  -25.47765000  6.987610E+02 -3.572166610279E+01
10166        -52.61551571  -25.47850700  6.916420E+02 -3.576366889533E+01
10167        -52.61583471  -25.47936800  6.867340E+02 -3.580346699223E+01
10168        -52.61615072  -25.48022401  6.820050E+02 -3.584273418831E+01
10169        -52.61882574  -25.48036100  6.595770E+02 -3.590728299709E+01
10170        -52.61914075  -25.48121500  6.672780E+02 -3.593343559896E+01
10171        -52.61945675  -25.48207100  6.701790E+02 -3.596444804952E+01
