lat,lon,H_zerotide_m,dg_helmert_mgal,dg_goco_mgal,dg_indirect_mgal,dg_residual_planilha_mgal,dg_res_calc_mgal,erro_mgal
-25.51675557,-49.11986617,901.0751,64.51716766027157,41.4012,-0.0021,23.113867660271566,23.118067660271564,0.004199999999997317
-25.54707832,-49.04906494,919.3276,67.38790098446785,36.1392,-0.0025,31.248700984467845,31.251200984467847,0.002500000000001279
-25.49139968,-48.99675202,961.0942,74.77424271017763,31.8169,-0.0023,42.95734271017763,42.959642710177626,0.0022999999999981924
-25.43824147,-49.01417292,935.6272,68.18422966593324,32.9337,-0.0035,35.25052966593324,35.254029665933245,0.003500000000002501
-25.4395725,-49.09905768,882.9281000000001,68.30447022915185,39.3425,-0.002,28.961970229151845,28.963970229151844,0.0019999999999988916
-25.38636558,-48.9662680499999,928.0913999999999,85.69074126257887,28.7391,-0.002,56.95164126257887,56.95364126257887,0.0020000000000024443
-25.27606252,-49.0675004599999,934.5745000000001,72.23363858006924,35.1034,-0.0026,37.13023858006924,37.13283858006924,0.002600000000001046
-25.21546361,-49.01418051,846.3519,54.95635913870561,30.6964,-0.0021,24.259959138705607,24.262059138705606,0.0020999999999986585
-25.1183212299999,-49.03504505,958.5611,61.77627685347306,31.2556,-0.0014,30.520676853473056,30.522076853473056,0.00140000000000029
-25.12520796,-48.93918875,848.266,49.27692168047735,24.8599,-0.0032,24.41702168047735,24.42022168047735,0.0031999999999996476
-25.14769816,-48.90460764,803.6878,46.277133475880625,22.4989,-0.0025,23.778233475880626,23.780733475880627,0.002500000000001279
-25.57475621,-48.98656866,922.1635,68.60691615046598,30.9585,-0.0008,37.64841615046598,37.649216150465975,0.0007999999999981355
-25.59693855,-48.9016123099999,723.9907999999999,51.196337792002325,23.5261,-0.0008,27.670237792002325,27.671037792002327,0.0008000000000016882
-25.55634358,-48.8224992099999,81.9406,-21.032178175870357,16.9569,-0.0013,-37.98907817587036,-37.98777817587036,0.001300000000000523
-25.5274622399999,-48.9020214499999,121.8094,-21.007135272203428,23.8647,-0.0014,-44.87183527220343,-44.87043527220343,0.0013999999999967372
-25.50715178,-48.88540014,67.4675,-26.93828736121968,22.4666,-0.001,-49.40488736121968,-49.40388736121968,0.0009999999999976694
-25.42482012,-48.9192415,228.1177,-22.652176741834946,25.15,-0.001,-47.80217674183494,-47.801176741834944,0.0009999999999976694
-25.03424644,-48.97419828,1022.3527,71.28369699995847,27.042,-0.0009,44.241696999958464,44.242596999958465,0.0009000000000014552
-24.9749914699999,-48.9087504199999,867.8854,51.63334582335433,23.0893,-0.0009,28.54404582335433,28.544945823354333,0.0009000000000014552
-25.0138265199999,-48.81726544,804.5399,35.851639789111374,16.9195,-0.001,18.932139789111375,18.933139789111376,0.0010000000000012221
-25.0752832599999,-48.87086931,780.9427000000001,35.095509782136524,20.1537,-0.0011,14.941809782136524,14.942909782136523,0.0010999999999992127
-25.0699053399999,-48.76881738,632.0556,23.10586119059472,13.2582,-0.0007,9.84766119059472,9.84836119059472,0.000700000000000145
-24.9261219499999,-48.9088410299999,972.944,76.3280257362686,23.4754,-0.0007,52.8526257362686,52.8533257362686,0.0007000000000019213
-24.88406338,-48.89386957,893.0634,54.359817059114754,23.0194,-0.0009,31.340417059114753,31.341317059114754,0.0009000000000014552
-24.8953026,-48.7892489299999,999.2633999999999,67.31422676809115,16.6204,-0.0021,50.69382676809114,50.69592676809114,0.0020999999999986585
-24.88482721,-48.7950391999999,945.5098999999999,59.453631638585016,17.135,-0.0024,42.31863163858502,42.32103163858502,0.002400000000001512
-24.84428648,-48.80475844,832.0655,50.83272931894198,18.3828,-0.0015,32.44992931894198,32.45142931894198,0.0015000000000000568
-24.7192747,-48.83170512,150.94449999999998,-36.459789200847645,22.0957,-0.0012,-58.555489200847646,-58.55428920084765,0.0011999999999972033
-24.7496295199999,-48.85309034,216.5291,-24.449151037129898,22.7041,-0.0011,-47.1532510371299,-47.1521510371299,0.001100000000000989
-24.7802316699999,-48.8841396799999,285.63640000000004,-16.24785475168345,23.8869,-0.0023,-40.13475475168345,-40.132454751683454,0.0022999999999981924
-24.67021026,-48.8268257,134.1679,-56.894858762905265,22.6884,-0.0023,-79.58325876290527,-79.58095876290527,0.002300000000005298
-24.7175213199999,-48.9388684899999,233.9292,-31.681169727239734,27.622,-0.004,-59.303169727239734,-59.299169727239736,0.003999999999997783
-25.03522405,-48.56305183,602.5377000000001,20.61308021175153,0.7475,-0.0027,19.86558021175153,19.868280211751532,0.002700000000000813
-24.90018121,-48.56861372,214.8044,-29.332613845832956,3.5545,-0.0005,-32.88711384583296,-32.886613845832954,0.0005000000000023874
-24.83522048,-48.57767083,268.35360000000003,-20.847132570103792,5.5769,-0.0038,-26.42403257010379,-26.420232570103792,0.0037999999999982492
-24.92820419,-48.53180154,709.7421,29.698592830821,0.9147,-0.002,28.783892830821,28.785892830821,0.0019999999999988916
-24.98242095,-48.55437147,740.2146,34.160135060921846,1.1152,-0.0021,33.044935060921844,33.04703506092184,0.0020999999999986585
-25.34190498,-48.7800832,14.2577,-36.71080475263202,13.611,-0.0031,-50.32180475263202,-50.318704752632016,0.0031000000000034333
-25.27358672,-48.72813888,15.055,-36.8017040929991,9.6614,-0.0028,-46.4631040929991,-46.4603040929991,0.00280000000000058
-25.22099017,-48.75874296,144.7408,-28.322283818175006,11.948,-0.0021,-40.270283818175,-40.268183818175004,0.0020999999999986585
-25.31421651,-48.64842106,94.4491,-16.134341014237915,3.9478,-0.0013,-20.082141014237916,-20.080841014237915,0.001300000000000523
-25.38716864,-48.65363371,6.0306999999999995,-36.487116836455996,4.173,-0.0033,-40.660116836456,-40.656816836455995,0.0033000000000029672
-25.25580008,-48.57192401,45.8256,-17.408537074731278,-0.7382,-0.0017,-16.67033707473128,-16.66863707473128,0.0016999999999995907
-25.31827582,-48.51934929,10.2255,-32.659022416301305,-3.932,-0.0032,-28.727022416301306,-28.723822416301307,0.0031999999999996476
-25.18714994,-48.52469006,22.3994,-22.150537093092538,-3.0256,-0.0017,-19.124937093092537,-19.123237093092538,0.0016999999999995907
-25.46218461,-48.87455348,24.9272,-33.52727887414897,21.5287,-0.0008,-55.05597887414897,-55.05517887414897,0.0007999999999981355
-25.4269757,-48.87769725,30.497299999999996,-32.23368908573344,21.7121,-0.0009,-53.94578908573344,-53.944889085733436,0.0009000000000014552
-25.43311791,-48.9144979,372.39390000000003,-1.3647344953687632,24.7924,-0.0017,-26.157134495368766,-26.155434495368766,0.0016999999999995907
-25.54223107,-48.98593159,914.56,66.8323414855339,30.9839,-0.0006,35.848441485533904,35.8490414855339,0.0005999999999986017
-25.49651264,-48.98201427,1007.7021,78.58800967877818,30.62,-0.0022,47.968009678778174,47.970209678778176,0.002200000000001978
-25.47657711,-49.05417036,946.1152,74.1176761233165,36.3105,-0.0013,37.8071761233165,37.8084761233165,0.001300000000000523
-25.57975749,-49.11738323,929.6195,60.492688781920926,41.3207,-0.001,19.171988781920923,19.172988781920925,0.0010000000000012221
